session_ts,restored,step,sim_time_sec,pos_x,pos_y,pos_z,yaw,body_vx,body_wz,lift_z,target_v,target_yaw,target_lift,phase
2026-02-23 12:20:40,0,330,0.329,-2.51713e-05,9.488e-20,0.49966,-5.41585e-19,0.000476847,-5.50654e-18,-0.0918894,0,0,0,0
2026-02-23 12:20:40,0,340,0.339,-2.10516e-05,1.05625e-19,0.499662,-5.63315e-19,0.000258018,-2.35707e-19,-0.0924566,0,0,0,0
2026-02-23 12:20:40,0,350,0.349,-2.01809e-05,1.1951e-19,0.499663,-5.74058e-19,-0.000113602,-1.12822e-18,-0.0922093,0,0,0,0
2026-02-23 12:20:40,0,360,0.359,-2.2566e-05,1.39624e-19,0.499663,-5.98587e-19,-0.00036051,-2.03085e-18,-0.0917339,0,0,0,0
2026-02-23 12:20:40,0,370,0.369,-2.67088e-05,1.66278e-19,0.499662,-6.26738e-19,-0.000456476,-3.85081e-18,-0.091261,0,0,0,0
2026-02-23 12:20:40,0,380,0.379,-3.12857e-05,1.86339e-19,0.499662,-6.61101e-19,-0.000442998,-4.4036e-18,-0.0908661,0,0,0,0
2026-02-23 12:20:40,0,390,0.389,-3.54013e-05,2.02208e-19,0.499661,-6.82894e-19,-0.00036598,-1.77036e-18,-0.0905615,0,0,0,0
2026-02-23 12:20:40,0,400,0.399,-3.86301e-05,2.19595e-19,0.499661,-6.95733e-19,-0.000267819,-5.70729e-19,-0.0903379,0,0,0,0
2026-02-23 12:20:40,0,410,0.409,-4.08604e-05,2.37181e-19,0.499661,-6.87734e-19,-0.000172139,8.53951e-19,-0.0901795,0,0,0,0
2026-02-23 12:20:40,0,420,0.419,-4.2231e-05,2.55472e-19,0.499661,-6.79021e-19,-9.8174e-05,3.76246e-19,-0.0900696,0,0,0,0
2026-02-23 12:20:40,0,430,0.429,-4.29583e-05,2.74848e-19,0.499661,-6.74002e-19,-4.53715e-05,1.57788e-18,-0.0899937,0,0,0,0
2026-02-23 12:20:40,0,440,0.439,-4.32446e-05,2.8907e-19,0.499661,-6.65253e-19,-1.12893e-05,-1.90833e-18,-0.0899412,0,0,0,0
2026-02-23 12:20:40,0,450,0.449,-4.32602e-05,2.97861e-19,0.499662,-6.84408e-19,7.99593e-06,-3.79453e-18,-0.0899047,0,0,0,0
2026-02-23 12:20:40,0,460,0.459,-4.31337e-05,3.11066e-19,0.499662,-7.16932e-19,1.67899e-05,-3.39929e-18,-0.0898793,0,0,0,0
2026-02-23 12:20:40,0,470,0.469,-4.29519e-05,4.39087e-19,0.499662,-6.25151e-19,1.89393e-05,4.17236e-17,-0.0898615,0,0,0,0
2026-02-23 12:20:40,0,480,0.479,-4.27673e-05,8.37613e-19,0.499662,-4.29795e-19,1.74298e-05,6.09735e-19,-0.089849,0,0,0,0
2026-02-23 12:20:40,0,490,0.489,-4.26063e-05,1.0277e-18,0.499662,-4.95535e-19,1.43239e-05,-9.26693e-18,-0.0898402,0,0,0,0
2026-02-23 12:20:40,0,500,0.499,-4.24786e-05,1.11546e-18,0.499662,-6.1463e-19,1.08875e-05,-1.04036e-17,-0.089834,0,0,0,0
2026-02-23 12:20:40,0,510,0.509,-4.23841e-05,7.65097e-19,0.499662,-1.01584e-18,7.78974e-06,-2.24314e-17,-0.0898296,0,0,0,0
2026-02-23 12:20:40,0,520,0.519,-4.23179e-05,5.17597e-19,0.499662,-1.10879e-18,5.30144e-06,1.03048e-18,-0.0898265,0,0,0,0
